"04368a56-c959-3e4b-8b3d-f4cc3538fea5","OFF CAMPUS",null
"86d1debf-3f3a-39b7-bc0d-976a4fa33862","ONLINE",null
"05395b35-06a5-3fd8-b4da-ac4280efac05","0482","0586"
"5d4c87b4-6ef4-34c5-8f6b-dc8b046b4bdc","0482","0494"
"6b7d01f9-d072-3de9-a508-66ab5c7d0741","0545","4041"
"456c45dc-1147-3092-b4b0-18120f807dc1","0482","0367"
"c0ef9a3e-e6c6-39cd-a5cd-25951a327fd0","0482","0582"
"34850796-1bbe-3952-b5a5-a1394815da8c","0482","0474"
"91499a4a-bd91-32a7-9ae8-e8a5fe4cb852","0482","0487"
"41dccab7-1f6d-34f0-a3fb-8584fbe83168","0155","1263"
"f740ee64-b04c-388e-b06a-9f0143eb9d69","0482","0206"
"ff85d97a-e644-3c72-8e0e-3ecfefe2a1b7","0482","0486"
"d1d06510-f11b-37f6-b6c0-ab66f2c27899","0469","1651"
"674ff01a-cb69-394c-aa8a-2fe88a2f570e","0057","1333"
"362f76b3-3ca8-3cdb-b671-e668ea23fe44","0006","0235"
"8549daf1-fdeb-391b-9b6f-1be2ebeea033","0469","1121"
"76552944-8893-3659-8eeb-d66b3792f790","0048","B130"
"f3bd7a82-25f7-3265-bb80-805e801d0478","0140","1270"
"5d2dbb4d-761e-3c62-86b5-303524d508c3","0140","1295"
"f184adea-e02c-36c8-b273-5b7444fcdd60","0482","0499"
"1086dddd-6b2d-34da-a2b6-3a35a4cd856a","0469","2650"
"bcb5592c-059a-3e7a-85c6-8dc1aad842fc","0482","0383"
"ac6b1226-67ec-3d16-a2f8-34ac77c3f94c","0482","0590"
"fd552c2a-ca14-380e-a2ef-9ae3c073e115","0400","L151"
"0e4a5499-d113-376f-a383-2a6ed6ce3b92","0402","0123"
"b0e83bb4-298d-3436-9d86-5bc9b338dda7","0482","0144"
"529e51c9-ce17-3df3-866e-836fc9694b93","0482","0159"
"487e6311-649a-30f2-8c23-a6c02e07d2be","0482","0483"
"cdbf6f49-a757-34f4-ba65-42e56751eb34","0140","1190"
"3af4acad-28e6-32f1-8c5b-2760e48a9896","0060","1220"
"aa15257a-9509-3511-bd1a-40f347844a80","0055","2104"
"c1432501-9adf-3a8b-90fb-bb7efdb95319","0482","0399"
"bac62c9d-21d2-3b8e-81bf-8b60ae7edb33","0046","5231"
"7735b548-bfc2-3172-a8c1-225f8d427093","0482","0390"
"434d0705-d16c-3511-8b45-281e9340e0fe","0154","0204"
"478faac4-f908-34b2-b661-8de4e60f488b","0057","4421"
"04ab574a-a686-363c-abca-ccf893189e7f","0085","1125"
"c9d5192e-1a72-3237-ac6f-b124bbf49630","0055","2223"
"fc8be155-5a77-3282-add8-c53bf0a237b6","0482","0583"
"8df37791-4aa5-30d1-8ed6-901d8696781d","0055","2120"
"9a15c09e-57d8-3658-ae72-aae5ffdef108","0469","2637"
"7b8bd2e8-1081-39b7-881f-381ed351ae8d","0056","0113"
"3d5eafb8-70cf-3e16-b2d5-eafc9d0eb9f2","0482","0395"
"b0796cf4-70ff-3c1e-b063-a9e12c09a6a8","0482","0374"
"4948c250-c6cf-3272-a497-f90962f3ba67","0545","4008"
"6c9865f2-a208-3940-acc2-59309b5eb2a6","0482","0386"
"8a5ba190-e255-3e64-a811-7c61798768ea","0453","0110"
"2846a8a5-0eb3-3fa1-9e67-44698898acc6","0408","2355"
"5da0d588-a26d-3beb-9b2b-0d0d70493e32","0482","0375"
"2b57b421-6c9f-3d88-9299-21b41c693446","0469","2261"
"2da69d83-787a-3b03-a82b-133026765ef1","0469","2251"
"c1863ff9-0249-305c-a96d-c9a7c2cf632f","0056","0222"
"7babe251-e681-3cda-a02d-ae3254894df7","0056","0019"
"b585bd26-dd33-38bf-a69f-8e9f7b7c468d","0545","4014"
"5add7648-6bc1-36ae-ab4b-b8170684a2ae","0545","4013"
"b245416a-1cb2-3cd6-919c-4bde53be2155","0545","4018"
"d5bc555a-6955-3d56-8243-040a3ebc8271","0545","4017"
"5320ff98-7a31-3cf2-9ba6-427dbcc943bb","0545","4011"
"eda7ac38-2d95-3114-b675-c49966779d6d","0545","4046"
"0ab677e3-8261-328d-940e-9361e6f8f675","0545","4020"
"39445267-557a-3488-91e6-bd07695beb34","0545","4035"
"59db8419-c6b0-3dc2-bde6-312750efa117","0567","1110"
"44db8797-521f-3104-945a-245853d341b3","1246","0138"
"e2fda8fe-4bc3-36c7-954d-2597eef2c8f6","1243","1227"
"831c6173-6722-3464-a9c7-d066b08be7a7","1245","0022"
"316b5c0b-091d-31fb-8322-f0cc9f4b7fed","0545","3155"
"21cdc4a3-ffad-3103-8567-b94279098a8c","1245","0137"
"c175fa26-f502-35bd-8902-dae5de3d23a6","1246","0114"
"85d48cdb-8a44-35ec-a5b6-fdd920aef550","0545","4004"
"99ad73af-d4d3-3d21-ab73-c953fa7ec736","0544","0120"
"8a9b5cc0-6dda-3bae-b309-f5dfcddcde48","1246","0116"
"e1e0ebc4-4cb5-3141-a358-e718251a120e","1245C","0049"
"e2fcea24-93b4-3fd6-84b0-3ca808f7e09d","1246C","0138"
"0ed6e226-8225-3c02-945e-5267be252134","0574C","B110"
"3ab0be5b-2592-39f2-bc09-38c4b7f6d468","0560","0B11"
"0112dccd-3450-33dd-8438-c6523a22a98d","0544","L166"
"ca79ced5-1d66-3644-8df2-9d97f26d6026","1246","0112"
"1caf1289-4070-313d-98e6-f3c0e3eee0a9","0545","3153"
"f3b41491-8761-3f44-a0e9-cdd5fe9f7adf","0469","1217"
"33728ee2-761a-3019-9ec6-45bd2df0d58e","0154","0218"
"8a986bd1-9faa-3ece-b896-9904c4223d62","1245","0049"
"f6443bdd-0b3d-3133-97db-8572c39162f8","0400","0151"
"498cf5ec-34cb-3d87-b771-b0e97efaffb0","0154","0304"
"e9ba71f6-ce38-35cc-a00c-5f15c577e9d6","0140","2270"
"54c28420-4b9b-3b40-b2f9-3047f31573e1","0140","2185"
"92d038eb-9d77-3014-869d-d14fbf616ebe","0545","6041"
"da6485ba-7d37-3855-b23e-35e52fe32c7a","0557","0B21"
"9de6ca5a-bcc2-31c0-aaa6-52ac5f62cc4a","0076","0135"
"627fde29-8a53-3e57-9267-37699db2653e","0076","0137"
"bd68f458-80b7-3ae0-bdfc-3fda9303d6c0","0084","1116"
"00b42138-c107-3a9c-bb8c-10255b94169f","0080","0101"
"b56c1108-c3fd-3db8-a7f3-2de0137fc6c1","0114","0104"
"576aafb4-caaa-3812-88a4-c5fd435a2310","0087A","0351"
"70700600-4f06-3b0a-b8ce-f7b13bb5acd4","0408","2349"
"d4253181-00f7-3bbb-88b3-6a45fa999569","0408","2341"
"602dd974-25de-315c-bf9b-4af1ff4751a9","0408","2321"
"044edfc9-fc46-358b-8767-710f176365a9","0118","0209"
"f4e3aea1-31bf-31db-9b8e-c64950071ea6","0407","2106"
"ee9ce099-8761-3e97-b582-ed3f4536dda4","0453","0106"
"f5bb3122-3653-3d4c-aec0-cd574c99420f","0070","0010"
"1b04034c-6a97-32ba-958a-0dfb7a196a83","0083","0B20"
"72236669-25b9-3273-a4f6-4ceb8bc6f32f","0060","1510"
"4d06b3d1-42a5-3205-a015-5fd4729da792","0407","2108"
"372ad4e2-099b-357c-8ec1-439d6517916d","0408","2309"
"c92f169a-4850-33f1-99b1-f6847aac3a35","0453","0114"
"ff6c2298-4b07-36c2-a8aa-aa4d261367e6","0114","0150"
"7aa2b951-6137-3417-abf7-5d879cc8e12a","0106","0119"
"d6791bb1-c3f4-3bec-9719-79d92611b29c","0046","6116"
